method,bucket,delta_mean,delta_lo,delta_hi,improved_mean,improved_lo,improved_hi,n
bon_panel,62.5,16.00462962962963,15.443206018518518,16.591037808641975,0.7419753086419754,0.7290084876543209,0.7558641975308642,6480
bon_panel,67.5,14.89996181748759,14.336120656739213,15.426365024818633,0.7439862542955327,0.7285175639557082,0.7586960672012218,5238
bon_panel,72.5,12.535137701804368,12.076578822412156,12.95706908831909,0.7390788224121557,0.7248338081671415,0.7540360873694207,4212
bon_panel,77.5,8.219047619047618,7.8240013227513225,8.637089947089946,0.6465608465608466,0.6343915343915344,0.66005291005291,3780
bon_panel,82.5,4.9128086419753085,4.543229166666666,5.235435956790123,0.5991512345679012,0.5833333333333334,0.6138213734567901,2592
bon_panel,87.5,-0.06958473625140292,-0.5696548821548821,0.4525953984287315,0.30808080808080807,0.29179292929292927,0.3282968574635241,1782
bon_panel,92.5,-0.5370370370370371,-1.0185185185185186,-0.11064814814814856,0.05555555555555555,0.018518518518518517,0.09282407407407386,108
bon_panel_nli,17.5,36.05902777777778,33.1109375,38.71116898148148,0.8923611111111112,0.861082175925926,0.9224537037037037,864
bon_panel_nli,22.5,34.33730158730159,32.8708664021164,35.62333553791887,0.9065255731922398,0.8893298059964727,0.9197641093474427,2268
bon_panel_nli,27.5,31.767676767676768,30.517227833894502,32.93346661054994,0.8689674523007856,0.8518518518518519,0.8849607182940517,3564
bon_panel_nli,32.5,29.63,28.79876388888889,30.55148611111111,0.8551851851851852,0.843138888888889,0.8679629629629629,5400
bon_panel_nli,37.5,27.002258355916894,26.281349744052996,27.77536510087323,0.8364950316169828,0.8241418247515808,0.8488444745558567,6642
bon_panel_nli,42.5,24.96709209209209,24.34021834334334,25.632876626626626,0.8063063063063063,0.7954172922922923,0.8175706956956956,7992
bon_panel_nli,47.5,23.274142240399907,22.665238014087706,23.934901158827536,0.7984548966144058,0.7871960917973188,0.8094978413996818,8802
bon_panel_nli,52.5,19.90280583613917,19.268894500561167,20.495923120089785,0.7613916947250281,0.7483726150392817,0.7722867564534232,8910
bon_panel_nli,57.5,17.426795923440217,16.797722470792937,18.01924869500373,0.728685060899826,0.7142679592344022,0.7433569475515784,8046
bon_panel_nli,62.5,14.034104938271605,13.355493827160494,14.639101080246913,0.6979938271604939,0.6823996913580247,0.7128202160493827,6480
bon_panel_nli,67.5,13.201794578083238,12.629228713249333,13.674193394425354,0.6996945399007255,0.6844167621229477,0.7151632302405498,5238
bon_panel_nli,72.5,11.801044634377968,11.356291547958214,12.257241215574549,0.7210351377018044,0.7048848528015195,0.7369480056980057,4212
bon_panel_nli,77.5,7.79047619047619,7.383551587301588,8.1755291005291,0.6288359788359789,0.6153042328042327,0.6412830687830688,3780
bon_panel_nli,82.5,4.980324074074074,4.678047839506172,5.256751543209877,0.589891975308642,0.5713734567901234,0.6068672839506173,2592
bon_panel_nli,87.5,0.4298540965207632,-0.022474747474747443,0.8100308641975307,0.3114478114478115,0.29235409652076316,0.32996632996632996,1782
bon_panel_nli,92.5,-0.3611111111111111,-0.7692129629629629,-0.06458333333333353,0.06481481481481481,0.027777777777777776,0.10185185185185185,108
bon_panel_single_nli,17.5,37.34375,34.441174768518515,39.85130208333333,0.9131944444444444,0.8842303240740741,0.9375289351851852,864
bon_panel_single_nli,22.5,34.03174603174603,32.61521164021164,35.292802028218695,0.900352733686067,0.8822751322751323,0.9157848324514991,2268
bon_panel_single_nli,27.5,31.48063973063973,30.294002525252527,32.832730078563415,0.8613916947250281,0.8448162177328844,0.8779531425364758,3564
bon_panel_single_nli,32.5,29.315925925925924,28.44397685185185,30.23951851851852,0.8518518518518519,0.8390648148148149,0.8657453703703704,5400
bon_panel_single_nli,37.5,26.52755194218609,25.812206413730806,27.275112917795845,0.8295694068051792,0.8182663354411321,0.8413392050587173,6642
bon_panel_single_nli,42.5,24.663163163163162,23.952383633633634,25.273407782782783,0.7974224224224224,0.7854072822822823,0.8073135635635635,7992
